movieId,mean,count,weighted_score,title,year,genres,Horror,Musical,Animation,(no genres listed),Crime,Fantasy,Documentary,Adventure,Romance,Western,Comedy,Mystery,IMAX,Drama,Children,Film-Noir,Action,War,Sci-Fi,Thriller
1,3.872469636,247,3.83685288,Toy Story ,1995,Adventure|Animation|Children|Comedy|Fantasy,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,3.401869159,107,3.432906917,Jumanji ,1995,Adventure|Children|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,3.161016949,59,3.289980311,Grumpier Old Men ,1995,Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,3.267857143,56,3.364049392,Father of the Bride Part II ,1995,Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,3.884615385,104,3.808270505,Heat ,1995,Action|Crime|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,3.283018868,53,3.377207803,Sabrina ,1995,Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10,3.450819672,122,3.469133208,GoldenEye ,1995,Action|Adventure|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
11,3.68902439,82,3.65007364,"American President ",1995,Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14,3.451612903,31,3.496856519,Nixon ,1995,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3.948863636,88,3.845832607,Casino ,1995,Crime|Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,3.924418605,86,3.82593317,Sense and Sensibility ,1995,Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19,2.597826087,92,2.830395473,Ace Ventura: When Nature Calls ,1995,Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,3.536842105,95,3.538465981,Get Shorty ,1995,Comedy|Crime|Thriller,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22,3.355263158,38,3.438356583,Copycat ,1995,Crime|Drama|Horror|Mystery|Thriller,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,3.044117647,34,3.27825387,Powder ,1995,Drama|Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,3.742574257,101,3.697009524,Leaving Las Vegas ,1995,Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,4.025,40,3.818689252,"City of Lost Children ","Cité des enfants perdus, La",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
31,3.178571429,42,3.330670107,Dangerous Minds ,1995,Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3.923469388,196,3.873045344,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
34,3.601351351,148,3.591619369,Babe ,1995,Children|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,3.9375,104,3.849315281,Dead Man Walking ,1995,Crime|Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,3.55,120,3.548721651,Clueless ,1995,Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44,2.697368421,38,3.070709525,Mortal Kombat ,1995,Action|Adventure|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,3.523255814,43,3.531619831,To Die For ,1995,Comedy|Drama|Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
47,4.034825871,201,3.971031375,Seven ,a.k.a. Se7en,Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,2.926229508,61,3.129760963,Pocahontas ,1995,Animation|Children|Drama|Musical|Romance,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
50,4.370646766,201,4.263239167,"Usual Suspects ",1995,Crime|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,3.637254902,51,3.602570959,Mighty Aphrodite ,1995,Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
58,4,45,3.817443302,"Postman ","Postino, Il",Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
60,2.828125,32,3.174326575,"Indian in the Cupboard ",1995,Adventure|Children|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
