movieId,mean,count,weighted_score,title,genres,Horror,Musical,Animation,(no genres listed),Crime,Fantasy,Documentary,Adventure,Romance,Western,Comedy,Mystery,IMAX,Drama,Children,Film-Noir,Action,War,Sci-Fi,Thriller
1,3.8724696356275303,247,3.836852879675427,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,3.4018691588785046,107,3.4329069172999507,Jumanji (1995),Adventure|Children|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,3.1610169491525424,59,3.2899803108999235,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,3.267857142857143,56,3.3640493915127117,Father of the Bride Part II (1995),Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,3.8846153846153846,104,3.8082705050006957,Heat (1995),Action|Crime|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,3.2830188679245285,53,3.3772078032541346,Sabrina (1995),Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10,3.4508196721311477,122,3.4691332083558764,GoldenEye (1995),Action|Adventure|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
11,3.6890243902439024,82,3.650073639911546,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14,3.4516129032258065,31,3.496856519181856,Nixon (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3.9488636363636362,88,3.845832607373671,Casino (1995),Crime|Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,3.9244186046511627,86,3.825933169569769,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19,2.597826086956522,92,2.830395472705682,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,3.536842105263158,95,3.538465981360746,Get Shorty (1995),Comedy|Crime|Thriller,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22,3.3552631578947367,38,3.4383565833837233,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
24,3.0441176470588234,34,3.278253869845206,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,3.742574257425743,101,3.697009524199185,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,4.025,40,3.8186892524299028,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
31,3.1785714285714284,42,3.3306701065290722,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3.923469387755102,196,3.873045343672979,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
34,3.6013513513513513,148,3.5916193689331077,Babe (1995),Children|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,3.9375,104,3.8493152811200986,Dead Man Walking (1995),Crime|Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,3.55,120,3.5487216511339543,Clueless (1995),Comedy|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44,2.6973684210526314,38,3.0707095245601943,Mortal Kombat (1995),Action|Adventure|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,3.5232558139534884,43,3.531619831097167,To Die For (1995),Comedy|Drama|Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
47,4.034825870646766,201,3.971031375195208,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,2.9262295081967213,61,3.1297609634076173,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
50,4.370646766169155,201,4.263239167403001,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,3.6372549019607843,51,3.6025709588900394,Mighty Aphrodite (1995),Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
58,4.0,45,3.8174433022679093,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
60,2.828125,32,3.174326575324084,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
62,3.689655172413793,87,3.6522072450435314,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,3.0208333333333335,48,3.221900611155041,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
95,3.1774193548387095,93,3.2667337208950666,Broken Arrow (1996),Action|Adventure|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
104,3.2925531914893615,94,3.353292319920106,Happy Gilmore (1996),Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,3.1145833333333335,48,3.279592918847349,"Bridges of Madison County, The (1995)",Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
110,3.9451754385964914,228,3.898481580116641,Braveheart (1995),Action|Drama|War,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
111,4.22457627118644,118,4.086542213987116,Taxi Driver (1976),Crime|Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
112,3.295918367346939,49,3.389977818608775,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
141,3.5806451612903225,93,3.5716117696755547,"Birdcage, The (1996)",Comedy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,3.2790697674418605,43,3.387784214658811,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
150,3.9025,200,3.855688033348231,Apollo 13 (1995),Adventure|Drama|IMAX,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
151,3.5625,48,3.5552339444883745,Rob Roy (1995),Action|Drama|Romance|War,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
153,2.7829457364341086,129,2.9264669664785736,Batman Forever (1995),Action|Adventure|Comedy|Crime,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
158,2.8706896551724137,58,3.100093723523786,Casper (1995),Adventure|Children,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
160,2.3412698412698414,63,2.729120942689174,Congo (1995),Action|Adventure|Mystery|Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
161,3.83125,80,3.7528022515463015,Crimson Tide (1995),Drama|Thriller|War,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
162,4.136363636363637,33,3.8540991693665587,Crumb (1994),Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3.515873015873016,63,3.524819867420357,Desperado (1995),Action|Romance|Western,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
165,3.443661971830986,142,3.4610944631982163,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
168,3.116279069767442,43,3.291893803699907,First Knight (1995),Action|Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
172,2.5729166666666665,48,2.9462595855140155,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
173,2.5642857142857145,70,2.8580824767009316,Judge Dredd (1995),Action|Crime|Sci-Fi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
